time	V(Vin,Vc)	V(vc)	I(C1)
1.771343107194854e-002	2.814333e+000	4.185667e+000	2.605864e-003
1.781583107194793e-002	2.799548e+000	4.200452e+000	2.592174e-003
1.791823107194733e-002	2.784840e+000	4.215160e+000	2.578556e-003
1.802063107194672e-002	2.770209e+000	4.229791e+000	2.565009e-003
1.812303107194611e-002	2.755656e+000	4.244344e+000	2.551533e-003
1.822543107194550e-002	2.741179e+000	4.258821e+000	2.538128e-003
1.832783107194489e-002	2.726778e+000	4.273222e+000	2.524794e-003
1.843023107194429e-002	2.712452e+000	4.287548e+000	2.511529e-003
1.853263107194368e-002	2.698202e+000	4.301798e+000	2.498335e-003
1.863503107194307e-002	2.684026e+000	4.315974e+000	2.485210e-003
1.873743107194246e-002	2.669925e+000	4.330075e+000	2.472153e-003
1.883983107194185e-002	2.655899e+000	4.344101e+000	2.459165e-003
1.894223107194125e-002	2.641945e+000	4.358055e+000	2.446246e-003
1.904463107194064e-002	2.628066e+000	4.371934e+000	2.433394e-003
1.914703107194003e-002	2.614259e+000	4.385741e+000	2.420610e-003
1.924943107193942e-002	2.600524e+000	4.399476e+000	2.407893e-003
1.935183107193881e-002	2.586862e+000	4.413138e+000	2.395243e-003
1.945423107193820e-002	2.573272e+000	4.426728e+000	2.382659e-003
1.955663107193760e-002	2.559752e+000	4.440248e+000	2.370141e-003
1.965903107193699e-002	2.546305e+000	4.453695e+000	2.357689e-003
1.976143107193638e-002	2.532927e+000	4.467073e+000	2.345303e-003
1.986383107193577e-002	2.519620e+000	4.480380e+000	2.332982e-003
1.996623107193516e-002	2.506383e+000	4.493617e+000	2.320725e-003
2.006863107193456e-002	2.493215e+000	4.506785e+000	2.308533e-003
2.017103107193395e-002	2.480117e+000	4.519883e+000	2.296404e-003
2.027343107193334e-002	2.467087e+000	4.532913e+000	2.284340e-003
2.037583107193273e-002	2.454126e+000	4.545874e+000	2.272339e-003
2.047823107193212e-002	2.441233e+000	4.558767e+000	2.260401e-003
2.058063107193152e-002	2.428408e+000	4.571592e+000	2.248526e-003
2.068303107193091e-002	2.415649e+000	4.584351e+000	2.236712e-003
2.078543107193030e-002	2.402958e+000	4.597042e+000	2.224962e-003
2.088783107192969e-002	2.390334e+000	4.609666e+000	2.213272e-003
2.099023107192908e-002	2.377776e+000	4.622224e+000	2.201645e-003
2.109263107192847e-002	2.365284e+000	4.634716e+000	2.190078e-003
2.119503107192787e-002	2.352858e+000	4.647142e+000	2.178572e-003
2.129743107192726e-002	2.340497e+000	4.659503e+000	2.167127e-003
2.139983107192665e-002	2.328201e+000	4.671799e+000	2.155741e-003
2.150223107192604e-002	2.315969e+000	4.684031e+000	2.144416e-003
2.160463107192543e-002	2.303802e+000	4.696198e+000	2.133150e-003
2.170703107192483e-002	2.291698e+000	4.708302e+000	2.121943e-003
2.180943107192422e-002	2.279659e+000	4.720341e+000	2.110795e-003
2.191183107192361e-002	2.267683e+000	4.732317e+000	2.099706e-003
2.201423107192300e-002	2.255769e+000	4.744231e+000	2.088675e-003
2.211663107192239e-002	2.243918e+000	4.756082e+000	2.077702e-003
2.221903107192179e-002	2.232129e+000	4.767871e+000	2.066786e-003
2.232143107192118e-002	2.220402e+000	4.779598e+000	2.055928e-003
2.242383107192057e-002	2.208737e+000	4.791263e+000	2.045127e-003
2.252623107191996e-002	2.197133e+000	4.802867e+000	2.034383e-003
2.262863107191935e-002	2.185590e+000	4.814410e+000	2.023695e-003
2.273103107191874e-002	2.174108e+000	4.825892e+000	2.013063e-003
2.283343107191814e-002	2.162686e+000	4.837314e+000	2.002487e-003
2.293583107191753e-002	2.151324e+000	4.848676e+000	1.991967e-003
